Category,Skill
Artificial Intelligence,PCA
Artificial Intelligence,CNN
Artificial Intelligence,RNN
Artificial Intelligence,LSTM
Artificial Intelligence,GAN
Artificial Intelligence,Autoencoders
Artificial Intelligence,YOLO
Artificial Intelligence,RCNN
Big Data,Big Data
Big Data,Apache Spark
Big Data,Hadoop
Big Data,Hive
Big Data,Kafka
Big Data,Airflow
Big Data,ETL
Big Data,Data Warehousing
Big Data,Snowflake
Big Data,BigQuery
Data Visualization Tools,Power BI
Data Visualization Tools,Tableau
Data Visualization Tools,Excel
Data Visualization Tools,Google Data Studio
Development Tools,Jupyter
Development Tools,Jupyter Notebook
Development Tools,Git
Development Tools,GitHub
Development Tools,GitLab
Development Tools,Bitbucket
Development Tools,SVN
Development Tools,Docker
Development Tools,Kubernetes
Development Tools,Terraform
Development Tools,Ansible
Development Tools,Jenkins
Development Tools,CI/CD
Development Tools,VS Code
Development Tools,Visual Studio
Development Tools,PyCharm
Development Tools,IntelliJ IDEA
Development Tools,Eclipse
Development Tools,Android Studio
Development Tools,Xcode
Operating Systems,Linux
Operating Systems,Unix
Operating Systems,Windows
Cloud Computing,AWS
Cloud Computing,Azure
Cloud Computing,Google Cloud
Cloud Computing,GCP
Cloud Computing,EC2
Cloud Computing,S3
Cloud Computing,Lambda
Cloud Computing,Cloud Computing
Cloud Computing,Virtual Machines
Cloud Computing,VMware
Cloud Computing,DigitalOcean
Cloud Computing,Heroku
Cloud Computing,Netlify
Cloud Computing,Vercel
Cloud Computing,Firebase Hosting
UI/UX Design,Figma
UI/UX Design,Adobe XD
UI/UX Design,Canva
UI/UX Design,Responsive Design
Computer Science Fundamentals,Object Oriented Programming
Computer Science Fundamentals,OOP
Computer Science Fundamentals,Data Structures
Computer Science Fundamentals,DSA
Computer Science Fundamentals,Algorithms
Computer Science Fundamentals,DBMS
Computer Science Fundamentals,Database Management System
Computer Science Fundamentals,Operating System
Computer Science Fundamentals,Operating Systems
Computer Science Fundamentals,Computer Networks
Computer Science Fundamentals,Networking
Computer Science Fundamentals,Software Engineering
Computer Science Fundamentals,Compiler Design
Computer Science Fundamentals,Computer Organization
Computer Science Fundamentals,Theory of Computation
Computer Science Fundamentals,Discrete Mathematics
Computer Science Fundamentals,Design Patterns
Computer Science Fundamentals,System Design
Computer Science Fundamentals,Microservices
Computer Science Fundamentals,Distributed Systems
Computer Science Fundamentals,Multithreading
Computer Science Fundamentals,Concurrency
Networking,TCP/IP
Networking,UDP
Networking,HTTP
Networking,HTTPS
Networking,DNS
Networking,DHCP
Networking,SSH
Networking,FTP
Networking,SMTP
Networking,POP3
Networking,IMAP
Networking,WebSockets
Networking,Socket Programming
Cybersecurity,Ethical Hacking
Cybersecurity,Cyber Security
Cybersecurity,Network Security
Cybersecurity,Web Security
Cybersecurity,Cryptography
Cybersecurity,Penetration Testing
Cybersecurity,OWASP
Cybersecurity,Firewalls
Cybersecurity,SIEM
Cybersecurity,Wireshark
Cybersecurity,Nmap
Cybersecurity,Burp Suite
Software Testing,Software Testing
Software Testing,Manual Testing
Software Testing,Automation Testing
Software Testing,Unit Testing
Software Testing,Integration Testing
Software Testing,Regression Testing
Software Testing,Performance Testing
Software Testing,Load Testing
Software Testing,JUnit
Software Testing,PyTest
Software Testing,Selenium
Software Testing,Cypress
Software Testing,Robot Framework
Project Management,Agile
Project Management,Scrum
Project Management,Kanban
Project Management,Jira
Project Management,Confluence
Project Management,SDLC
Project Management,STLC
Soft Skills,Problem Solving
Soft Skills,Debugging
Soft Skills,Code Review
Soft Skills,Refactoring
Soft Skills,Version Control
Soft Skills,Communication
Soft Skills,Teamwork
Soft Skills,Leadership
Soft Skills,Critical Thinking
Soft Skills,Analytical Thinking
Soft Skills,Time Management
Soft Skills,Project Management
Soft Skills,Presentation Skills
Soft Skills,Research
Soft Skills,Documentation
Software Development,API Development
Software Development,Backend Development
Software Development,Frontend Development
Software Development,Full Stack Development
Software Development,Web Development
Software Development,Mobile Development
Software Development,Android Development
Software Development,iOS Development
Software Development,Flutter
Software Development,React Native
Software Development,Xamarin
IoT & Embedded Systems,IoT
IoT & Embedded Systems,Embedded Systems
IoT & Embedded Systems,Arduino
IoT & Embedded Systems,Raspberry Pi
IoT & Embedded Systems,Microcontrollers
IoT & Embedded Systems,Robotics
IoT & Embedded Systems,PLC
IoT & Embedded Systems,Embedded C
Emerging Technologies,CUDA
Emerging Technologies,GPU Programming
Emerging Technologies,Blockchain
Emerging Technologies,Smart Contracts
Emerging Technologies,Solidity
Emerging Technologies,Ethereum
Emerging Technologies,Web3
Emerging Technologies,DevOps
Emerging Technologies,MLOps
Emerging Technologies,AIOps
Emerging Technologies,Edge Computing
Emerging Technologies,Quantum Computing
Emerging Technologies,AR
Emerging Technologies,VR
Emerging Technologies,Game Development
Emerging Technologies,Unity
Emerging Technologies,Unreal Engine
Emerging Technologies,TensorRT
Emerging Technologies,ONNX
Emerging Technologies,Streamlit
Emerging Technologies,Gradio
Emerging Technologies,OCR
Emerging Technologies,Tesseract
YOLO,
RCNN,
